,Name,Address,Rating,Phone,Website
0,Kidcadia Play Café,null,5 star rating,Get Directions,null
1,Taqueria El Rey,"4730 W Vernor Hwy,Detroit, MI 48209,",4.5 star rating,(313) 357-3094,http://taqueria-elrey.com
2,Honey Bee La Colmena,null,4.5 star rating,Get Directions,null
3,Oak & Reel,"2921 E Grand Blvd,Ste 100,",4.5 star rating,Get Directions,null
4,Chili Mustard Onions,null,4.5 star rating,Get Directions,null
5,Dime Store,"719 Griswold St,Ste 180,",4.5 star rating,Ask a question,null
6,Matt & Mo's,null,5 star rating,Get Directions,null
7,Mabel Gray,null,4.5 star rating,Get Directions,null
8,Glass Onion Griddle,"6828 Allen Rd,Allen Park, MI 48101,",4.5 star rating,(313) 558-9618,http://glassoniongriddle.net
9,Giovanni's Ristorante,"330 S Oakwood,Detroit, MI 48217,",4.5 star rating,(313) 841-0122,http://www.giovannisristorante…
10,Detroit Eatery,"200 5th Ave,Royal Oak, MI 48067,",4.5 star rating,(248) 850-8770,https://www.detroiteatery.com
11,The Sprout House Natural Foods Market,null,5 star rating,(313) 331-3200,http://www.sprouthousenaturalm…
12,The Proving Grounds,"417 S Washington Ave,Royal Oak, MI 48067,",5 star rating,Get Directions,null
13,Buddy's Pizza,null,4.5 star rating,Sat 2022-01-01,null
14,Batch Brewing Company,"1400 Porter St,Detroit, MI 48216,",4.5 star rating,(313) 338-8008,http://www.batchbrewingcompany…
15,Peepo's Subs & Shawarma,"10890 S Beech Daly Rd,Taylor, MI 48180,",4.5 star rating,Sat 2022-01-01,null
16,Andalus Mediterranian Grill,null,4.5 star rating,(313) 551-3356,http://andalusgrilldearborn.co…
17,Zo's Good Burger - Dearborn,null,4.5 star rating,Sat 2022-01-01,null
18,Selden Standard,"3921 2nd Ave,Detroit, MI 48201,",4.5 star rating,(313) 438-5055,http://www.seldenstandard.com/
19,The Himalayan Flames,"22266 Michigan Ave,Dearborn, MI 48124,",4.5 star rating,4:30 PM - 9:30 PM,null
20,Supino Pizzeria,"2457 Russell St,Detroit, MI 48207,",4.5 star rating,(313) 567-7879,http://www.supinopizzeria.com
21,The Taco Stand Taqueria,"5038 Allen Rd,Allen Park, MI 48101,",4.5 star rating,(313) 724-6221,http://www.thetacostandtaqueri…
22,The Charlevoix,null,4.5 star rating,Get Directions,null
23,Schramm's Mead,null,4.5 star rating,Get Directions,null
24,Tj's Shanghai Dumplings,null,5 star rating,(248) 586-9588,https://tjs-shanghai-dumplings…
25,Blimpie,"108 W Hancock St,DETROIT, MI 48201,",4.5 star rating,Get Directions,null
26,Srodek's Campau Quality Sausage,"9601 Joseph Campau,Hamtramck, MI 48212,",4.5 star rating,Get Directions,null
27,Major Tomato,"6547 Allen Rd,Allen Park, MI 48101,",4.5 star rating,(313) 254-9146,http://www.majortomato.com/
28,Arabian Village Restaurant,null,4.5 star rating,null,null
29,Cannelle Matt Knio,"45 Grand River Ave,Detroit, MI 48228,",4.5 star rating,Get Directions,null
30,Marrow,"8044 Kercheval Ave,1B,",4.5 star rating,Get Directions,null
31,Cafe March 21,"480 Pelissier Street,Windsor, ON N9A 4K9,",5 star rating,null,Get Directions
32,Pupusería y Restaurante Salvadoreño,"3149 Livernois Ave,Detroit, MI 48210,",4.5 star rating,Get Directions,null
33,Coffee Break Cafe,null,5 star rating,null,Get Directions
34,Loui's Pizza,null,4.5 star rating,Get Directions,null
35,Haney's Family Restaurant and Catering,null,4.5 star rating,null,Get Directions
36,Churchills Bar And Bistro,null,4.5 star rating,Get Directions,null
37,ima,null,4.5 star rating,(313) 502-5959,https://imanoodles.com
38,Boff's Middle Eastern Cuisine,null,4.5 star rating,(586) 576-7933,https://boffsmeatmarket.com
39,Taystee's Burgers,null,4.5 star rating,Get Directions,null
40,Sushi Zone,null,4.5 star rating,Get Directions,null
41,Standby,"225 Gratiot Ave,Detroit, MI 48226,",4.5 star rating,Sat 2022-01-01,null
42,Campestre Chicken,"3419 Fort St,Lincoln Park, MI 48146,",4.5 star rating,(313) 914-7522,http://www.campestrelp.com
43,Spago Trattoria E Pizzeria,"690 Erie Street E,Windsor, ON N9A 3X9,",4.5 star rating,Get Directions,null
44,Poke Poke - Sushi Unrolled,null,4.5 star rating,(248) 354-4000,http://eatpokepoke.com
45,Noorjahan Grill,null,5 star rating,(313) 473-8181,http://www.noorjahangrill.com
46,Mr. Pauls Chop House,null,4.5 star rating,(586) 777-7770,http://www.mrpaulschophouse.co…
47,The Jagged Fork,null,4.5 star rating,(313) 458-8440,http://www.thejaggedfork.com/i…
48,Pink Garlic Indian Cuisine,null,5 star rating,(248) 808-6495,https://pinkgarlicmi.com
49,Saffron De Twah,null,4.5 star rating,(586) 359-6138,http://saffrondetwah.com
